Facility Name,Facility ID,Address,City,State,ZIP Code,County Name,Phone Number,Hospital Type,Hospital Ownership,Emergency Services,Hospital overall rating,Meets criteria for meaningful use of EHRs,Mortality national comparison,Safety of care national comparison,Readmission national comparison,Patient experience national comparison,Effectiveness of care national comparison,Timeliness of care national comparison
Kentucky Regional Medical Center,KY00002,5714 Broadway St,Louisville,KY,52946,Louisville County,(794) 379-2977,Psychiatric Hospital,Government - Federal,Yes,4,Yes,Below the national average,Same as the national average,Same as the national average,Above the national average,Below the national average,Above the national average
Elizabethtown Community Hospital,KY00003,2188 Church Ave,Elizabethtown,KY,44031,Elizabethtown County,(267) 818-3703,Children's Hospital,Voluntary non-profit - Church,No,3,Yes,Same as the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average
Owensboro Memorial Hospital,KY00004,5193 Main Blvd,Owensboro,KY,84188,Owensboro County,(860) 231-3082,Long-Term Care Hospital,Government - Local,Yes,Not Available,No,Same as the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average
Hopkinsville Health Center,KY00005,7684 Church Ave,Hopkinsville,KY,17438,Hopkinsville County,(608) 472-2074,Acute Care Hospital,Government - Federal,Yes,4,Yes,Below the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Above the national average
Kentucky Veterans Hospital,KY00006,216 First Blvd,Georgetown,KY,26735,Georgetown County,(979) 731-4523,Rehabilitation Hospital,Voluntary non-profit - Other,Yes,4,Yes,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average
Kentucky Community Hospital,KY00007,1821 First Dr,Louisville,KY,68462,Louisville County,(296) 285-6343,Psychiatric Hospital,Voluntary non-profit - Church,No,4,Yes,Above the national average,Above the national average,Above the national average,Above the national average,Above the national average,Below the national average
St. Larry Regional Hospital,KY00008,3395 Washington Dr,Elizabethtown,KY,73767,Elizabethtown County,(618) 534-3392,Rehabilitation Hospital,Government - State,No,3,Yes,Below the national average,Below the national average,Above the national average,Below the national average,Below the national average,Above the national average
St. Timothy University Hospital,KY00009,6997 Church Ave,Bowling Green,KY,72516,Bowling Green County,(983) 486-8280,Acute Care Hospital,Voluntary non-profit - Private,Yes,5,Yes,Above the national average,Same as the national average,Below the national average,Same as the national average,Below the national average,Below the national average
Mount Anthony Regional Hospital,KY00010,1559 Oak Dr,Richmond,KY,89550,Richmond County,(643) 792-3700,Long-Term Care Hospital,Proprietary,No,2,Yes,Below the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Above the national average
Lexington Hospital,KY00011,1566 Church Blvd,Lexington,KY,64122,Lexington County,(909) 207-8771,Rehabilitation Hospital,Voluntary non-profit - Other,Yes,2,Yes,Same as the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,Below the national average
Kentucky City Hospital,KY00012,2784 Third St,Covington,KY,57067,Covington County,(890) 418-5097,Rehabilitation Hospital,Voluntary non-profit - Other,Yes,3,No,Same as the national average,Below the national average,Above the national average,Above the national average,Same as the national average,Below the national average
Mount Betty General Hospital,KY00013,2316 Medical Blvd,Hopkinsville,KY,41621,Hopkinsville County,(222) 557-5346,Critical Access Hospital,Voluntary non-profit - Other,Yes,Not Available,No,Above the national average,Below the national average,Above the national average,Below the national average,Above the national average,Above the national average
General Michael Clinic,KY00014,7365 Market Dr,Georgetown,KY,52565,Georgetown County,(802) 963-6946,Critical Access Hospital,Voluntary non-profit - Other,Yes,3,No,Above the national average,Same as the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
Georgetown Regional Medical Center,KY00015,5115 University Way,Georgetown,KY,28952,Georgetown County,(682) 677-2479,Acute Care Hospital,Government - Federal,Yes,3,No,Same as the national average,Below the national average,Below the national average,Below the national average,Above the national average,Below the national average
Kentucky Community Hospital,KY00016,3006 First Dr,Bowling Green,KY,85790,Bowling Green County,(959) 549-3044,Acute Care Hospital,Voluntary non-profit - Other,Yes,4,No,Below the national average,Same as the national average,Above the national average,Above the national average,Below the national average,Same as the national average
Kentucky Health Center,KY00017,136 Hospital Blvd,Lexington,KY,33607,Lexington County,(851) 335-1161,Critical Access Hospital,Government - Local,Yes,4,Yes,Same as the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Below the national average
Kentucky University Hospital,KY00018,1525 First St,Owensboro,KY,46901,Owensboro County,(285) 208-5411,Acute Care Hospital,Proprietary,Yes,4,Yes,Below the national average,Above the national average,Same as the national average,Above the national average,Below the national average,Below the national average
Covington Regional Medical Center,KY00019,1818 Church Ave,Covington,KY,28620,Covington County,(583) 534-5553,Critical Access Hospital,Voluntary non-profit - Private,No,Not Available,Yes,Above the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Below the national average
Memorial Edward Hospital,KY00020,3286 Oak Ave,Lexington,KY,58961,Lexington County,(566) 614-3509,Critical Access Hospital,Voluntary non-profit - Church,Yes,2,Yes,Above the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Same as the national average
Kentucky Clinic,KY00021,5769 Main Ave,Florence,KY,20964,Florence County,(964) 868-4649,Long-Term Care Hospital,Government - State,Yes,3,No,Below the national average,Below the national average,Above the national average,Below the national average,Above the national average,Below the national average
St. Jose Community Hospital,KY00022,8216 Healthcare Dr,Bowling Green,KY,99649,Bowling Green County,(703) 277-2641,Acute Care Hospital,Proprietary,Yes,3,Yes,Below the national average,Same as the national average,Above the national average,Same as the national average,Below the national average,Below the national average
St. Jessica Health System,KY00023,8737 Washington Ave,Elizabethtown,KY,77796,Elizabethtown County,(382) 370-6982,Critical Access Hospital,Voluntary non-profit - Other,Yes,1,No,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average
Hopkinsville Health Center,KY00024,5017 Oak Way,Hopkinsville,KY,85610,Hopkinsville County,(563) 433-6310,Long-Term Care Hospital,Government - State,No,3,Yes,Above the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,Below the national average
Covington Veterans Hospital,KY00025,2172 Medical Blvd,Covington,KY,31593,Covington County,(418) 223-4101,Acute Care Hospital,Voluntary non-profit - Church,Yes,5,No,Below the national average,Below the national average,Above the national average,Above the national average,Above the national average,Below the national average
Elizabethtown Health System,KY00026,2701 Market Dr,Elizabethtown,KY,66318,Elizabethtown County,(418) 838-5811,Psychiatric Hospital,Government - State,No,4,Yes,Below the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
Georgetown Regional Medical Center,KY00027,2151 Center Dr,Georgetown,KY,59727,Georgetown County,(419) 673-7166,Rehabilitation Hospital,Voluntary non-profit - Other,Yes,5,Yes,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average
Richmond Children's Hospital,KY00028,2402 Second Dr,Richmond,KY,27854,Richmond County,(945) 208-2228,Rehabilitation Hospital,Voluntary non-profit - Private,No,2,Yes,Below the national average,Same as the national average,Below the national average,Above the national average,Above the national average,Below the national average
Kentucky Regional Hospital,KY00029,1682 Park St,Bowling Green,KY,40639,Bowling Green County,(583) 553-8972,Rehabilitation Hospital,Government - Local,No,Not Available,Yes,Below the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,Same as the national average
General Donna Veterans Hospital,KY00030,1810 Center Way,Richmond,KY,44074,Richmond County,(319) 425-8064,Long-Term Care Hospital,Government - Federal,No,5,No,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,Below the national average
Regional Jennifer Regional Hospital,KY00031,6588 University Blvd,Owensboro,KY,77626,Owensboro County,(328) 670-2816,Acute Care Hospital,Government - State,Yes,4,Yes,Same as the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Below the national average
Kentucky Veterans Hospital,KY00032,2500 Healthcare Blvd,Louisville,KY,46466,Louisville County,(406) 309-5212,Children's Hospital,Government - State,No,3,No,Same as the national average,Same as the national average,Above the national average,Below the national average,Above the national average,Same as the national average
Kentucky Community Hospital,KY00033,9035 Church Blvd,Bowling Green,KY,50995,Bowling Green County,(376) 596-1384,Long-Term Care Hospital,Voluntary non-profit - Church,Yes,3,Yes,Above the national average,Below the national average,Above the national average,Above the national average,Above the national average,Below the national average
Memorial Ronald Hospital,KY00034,2243 Second Blvd,Louisville,KY,86153,Louisville County,(816) 847-6369,Critical Access Hospital,Proprietary,No,5,Yes,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average
Bowling Green Healthcare,KY00035,5432 Maple Ave,Bowling Green,KY,37938,Bowling Green County,(835) 414-6062,Psychiatric Hospital,Proprietary,Yes,1,No,Below the national average,Below the national average,Same as the national average,Below the national average,Above the national average,Above the national average
Kentucky General Hospital,KY00036,1542 Market St,Hopkinsville,KY,86976,Hopkinsville County,(841) 704-3174,Critical Access Hospital,Government - Federal,No,4,Yes,Same as the national average,Above the national average,Below the national average,Below the national average,Above the national average,Above the national average
Florence Health System,KY00037,6578 College Dr,Florence,KY,11554,Florence County,(651) 237-5286,Critical Access Hospital,Proprietary,Yes,3,Yes,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Above the national average
Kentucky County Hospital,KY00038,4121 First Blvd,Georgetown,KY,26623,Georgetown County,(669) 287-8044,Children's Hospital,Proprietary,No,4,No,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average
Regional Donna Health System,KY00039,3887 First Blvd,Richmond,KY,60362,Richmond County,(391) 765-6934,Rehabilitation Hospital,Voluntary non-profit - Other,Yes,4,Yes,Same as the national average,Below the national average,Below the national average,Above the national average,Below the national average,Above the national average
Memorial Michael General Hospital,KY00040,7855 College St,Louisville,KY,46692,Louisville County,(623) 291-6216,Children's Hospital,Voluntary non-profit - Private,Yes,4,No,Above the national average,Same as the national average,Above the national average,Above the national average,Below the national average,Below the national average
General Anthony Regional Medical Center,KY00041,4194 Park St,Covington,KY,49449,Covington County,(487) 683-6792,Children's Hospital,Voluntary non-profit - Church,Yes,Not Available,Yes,Below the national average,Above the national average,Same as the national average,Below the national average,Below the national average,Below the national average
Bowling Green Health Center,KY00042,1253 Second Way,Bowling Green,KY,30792,Bowling Green County,(959) 906-1496,Rehabilitation Hospital,Voluntary non-profit - Church,Yes,4,Yes,Below the national average,Same as the national average,Below the national average,Below the national average,Below the national average,Above the national average
Kentucky Memorial Hospital,KY00043,6208 University Dr,Georgetown,KY,36284,Georgetown County,(933) 244-4057,Rehabilitation Hospital,Voluntary non-profit - Other,No,4,Yes,Below the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,Below the national average
Mount Jason Memorial Hospital,KY00044,4700 Oak Ave,Florence,KY,28441,Florence County,(359) 769-1577,Critical Access Hospital,Voluntary non-profit - Other,Yes,4,No,Same as the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
Mount George Children's Hospital,KY00045,9763 Maple Ave,Elizabethtown,KY,48510,Elizabethtown County,(462) 730-1058,Rehabilitation Hospital,Proprietary,Yes,2,Yes,Same as the national average,Below the national average,Same as the national average,Same as the national average,Above the national average,Above the national average
St. Michelle Veterans Hospital,KY00046,1128 University Dr,Covington,KY,52406,Covington County,(582) 440-8025,Acute Care Hospital,Government - State,Yes,3,Yes,Above the national average,Above the national average,Below the national average,Above the national average,Above the national average,Below the national average
Florence Health Center,KY00047,327 Medical St,Florence,KY,44348,Florence County,(539) 746-5866,Long-Term Care Hospital,Government - Federal,Yes,3,Yes,Same as the national average,Same as the national average,Below the national average,Below the national average,Above the national average,Same as the national average
Kentucky Medical Center,KY00048,3523 Washington Ave,Louisville,KY,18583,Louisville County,(298) 378-7327,Rehabilitation Hospital,Government - Local,No,1,Yes,Above the national average,Same as the national average,Above the national average,Below the national average,Above the national average,Same as the national average
Kentucky Health Center,KY00049,3478 College Dr,Covington,KY,56088,Covington County,(680) 322-7457,Long-Term Care Hospital,Voluntary non-profit - Other,Yes,4,Yes,Above the national average,Same as the national average,Above the national average,Below the national average,Same as the national average,Above the national average
Kentucky Health Center,KY00050,9626 Washington Way,Hopkinsville,KY,74027,Hopkinsville County,(630) 862-8620,Children's Hospital,Voluntary non-profit - Other,Yes,Not Available,Yes,Above the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
Kentucky Healthcare,KY00051,9145 Lincoln Dr,Richmond,KY,32853,Richmond County,(973) 488-8214,Critical Access Hospital,Government - Local,Yes,2,No,Below the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Above the national average
St. Charles General Hospital,KY00052,6689 Main Dr,Owensboro,KY,16258,Owensboro County,(388) 984-2888,Psychiatric Hospital,Proprietary,Yes,3,No,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Above the national average
Kentucky Medical Center,KY00053,2471 Main Ave,Hopkinsville,KY,84062,Hopkinsville County,(218) 760-7094,Acute Care Hospital,Voluntary non-profit - Other,Yes,2,Yes,Below the national average,Same as the national average,Above the national average,Same as the national average,Below the national average,Below the national average
Kentucky Clinic,KY00054,2047 Park Dr,Covington,KY,48664,Covington County,(859) 966-5899,Critical Access Hospital,Government - State,No,4,Yes,Above the national average,Below the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
Regional Jose Health System,KY00055,9655 University Blvd,Hopkinsville,KY,48350,Hopkinsville County,(417) 227-7830,Rehabilitation Hospital,Government - Federal,Yes,2,No,Below the national average,Above the national average,Below the national average,Same as the national average,Above the national average,Below the national average
Elizabethtown General Hospital,KY00056,5299 Third Dr,Elizabethtown,KY,28185,Elizabethtown County,(525) 306-4827,Long-Term Care Hospital,Proprietary,Yes,3,Yes,Above the national average,Above the national average,Same as the national average,Below the national average,Above the national average,Below the national average
Richmond General Hospital,KY00057,5011 Maple Blvd,Richmond,KY,68864,Richmond County,(424) 859-6456,Long-Term Care Hospital,Voluntary non-profit - Church,No,2,Yes,Below the national average,Below the national average,Same as the national average,Above the national average,Above the national average,Above the national average
Hopkinsville Community Hospital,KY00058,9900 Second St,Hopkinsville,KY,93948,Hopkinsville County,(459) 775-1125,Children's Hospital,Proprietary,Yes,5,Yes,Below the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Below the national average
Kentucky Memorial Hospital,KY00059,456 Hospital St,Louisville,KY,43907,Louisville County,(797) 249-5686,Critical Access Hospital,Government - Local,Yes,Not Available,Yes,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Below the national average
Kentucky General Hospital,KY00060,5324 Lincoln St,Covington,KY,10735,Covington County,(863) 830-5590,Children's Hospital,Government - Local,No,4,No,Same as the national average,Same as the national average,Below the national average,Same as the national average,Above the national average,Same as the national average
Kentucky Healthcare,KY00061,1671 Washington Dr,Richmond,KY,94665,Richmond County,(713) 533-3136,Critical Access Hospital,Proprietary,Yes,3,No,Above the national average,Same as the national average,Above the national average,Same as the national average,Above the national average,Below the national average
Kentucky Hospital,KY00062,9412 Center St,Elizabethtown,KY,62625,Elizabethtown County,(432) 745-5176,Rehabilitation Hospital,Voluntary non-profit - Church,No,Not Available,Yes,Below the national average,Below the national average,Below the national average,Above the national average,Above the national average,Above the national average
St. Kenneth University Hospital,KY00063,4226 Medical Ave,Richmond,KY,56859,Richmond County,(661) 971-1313,Critical Access Hospital,Voluntary non-profit - Church,No,3,No,Same as the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Same as the national average
St. Donna Regional Medical Center,KY00064,5310 University Blvd,Elizabethtown,KY,16625,Elizabethtown County,(832) 300-1534,Critical Access Hospital,Government - Federal,Yes,Not Available,No,Above the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
Mount Linda County Hospital,KY00065,9939 Park Ave,Richmond,KY,88859,Richmond County,(253) 421-2402,Psychiatric Hospital,Government - State,Yes,5,Yes,Same as the national average,Below the national average,Below the national average,Above the national average,Below the national average,Below the national average
Mount Timothy City Hospital,KY00066,4032 Hospital St,Georgetown,KY,14768,Georgetown County,(807) 795-1886,Long-Term Care Hospital,Proprietary,Yes,4,No,Below the national average,Below the national average,Above the national average,Below the national average,Below the national average,Above the national average
General Lisa Memorial Hospital,KY00067,2904 Lincoln Ave,Elizabethtown,KY,13982,Elizabethtown County,(362) 673-9592,Children's Hospital,Proprietary,Yes,3,Yes,Same as the national average,Same as the national average,Below the national average,Same as the national average,Below the national average,Above the national average
Elizabethtown Regional Hospital,KY00068,6963 Lincoln Ave,Elizabethtown,KY,64186,Elizabethtown County,(367) 633-5989,Critical Access Hospital,Government - State,Yes,3,Yes,Below the national average,Same as the national average,Above the national average,Below the national average,Same as the national average,Below the national average
Regional Timothy Health Center,KY00069,7224 Second Blvd,Covington,KY,80814,Covington County,(380) 654-4010,Children's Hospital,Proprietary,No,Not Available,Yes,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
Kentucky Regional Hospital,KY00070,6962 Second Dr,Hopkinsville,KY,35087,Hopkinsville County,(430) 411-2434,Acute Care Hospital,Proprietary,No,3,No,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Above the national average
Elizabethtown Clinic,KY00071,5911 Center Dr,Elizabethtown,KY,47527,Elizabethtown County,(645) 731-8662,Psychiatric Hospital,Government - Federal,Yes,Not Available,Yes,Below the national average,Above the national average,Same as the national average,Above the national average,Above the national average,Above the national average
Memorial Anthony Regional Medical Center,KY00072,1901 Oak St,Covington,KY,21604,Covington County,(646) 888-3560,Children's Hospital,Government - Local,No,3,No,Above the national average,Below the national average,Below the national average,Same as the national average,Above the national average,Same as the national average
Kentucky County Hospital,KY00073,329 Broadway St,Georgetown,KY,28932,Georgetown County,(894) 901-2685,Long-Term Care Hospital,Government - State,Yes,4,Yes,Below the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Below the national average
Owensboro Regional Hospital,KY00074,8452 Broadway Ave,Owensboro,KY,27893,Owensboro County,(257) 333-4173,Critical Access Hospital,Government - State,Yes,3,No,Same as the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
Lexington Medical Center,KY00075,1560 Market Ave,Lexington,KY,78298,Lexington County,(814) 409-9291,Acute Care Hospital,Voluntary non-profit - Other,Yes,3,Yes,Same as the national average,Below the national average,Above the national average,Above the national average,Above the national average,Above the national average
Kentucky City Hospital,KY00076,1538 Oak St,Louisville,KY,43304,Louisville County,(598) 660-6567,Rehabilitation Hospital,Government - Local,No,5,No,Below the national average,Above the national average,Same as the national average,Below the national average,Above the national average,Above the national average
St. Jennifer Health Center,KY00077,4112 Park Dr,Florence,KY,84976,Florence County,(491) 870-8030,Children's Hospital,Government - Local,Yes,4,Yes,Same as the national average,Same as the national average,Above the national average,Above the national average,Below the national average,Same as the national average
St. Emily County Hospital,KY00078,8279 University Way,Florence,KY,48353,Florence County,(580) 369-6584,Psychiatric Hospital,Government - Federal,Yes,Not Available,Yes,Below the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
Kentucky Community Hospital,KY00079,3647 Church Way,Louisville,KY,97962,Louisville County,(391) 205-1190,Psychiatric Hospital,Proprietary,Yes,5,No,Above the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Same as the national average
Kentucky Memorial Hospital,KY00080,8792 Market Way,Louisville,KY,91032,Louisville County,(255) 742-5776,Rehabilitation Hospital,Government - Federal,Yes,3,Yes,Below the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Below the national average
General Anthony Community Hospital,KY00081,3239 Park St,Georgetown,KY,31902,Georgetown County,(213) 209-2348,Rehabilitation Hospital,Proprietary,Yes,5,No,Above the national average,Below the national average,Above the national average,Below the national average,Below the national average,Below the national average
Kentucky Regional Medical Center,KY00082,1687 Broadway St,Lexington,KY,53704,Lexington County,(809) 412-2986,Children's Hospital,Government - State,Yes,3,Yes,Same as the national average,Same as the national average,Same as the national average,Above the national average,Below the national average,Same as the national average
Kentucky Regional Hospital,KY00083,1769 Park St,Covington,KY,24350,Covington County,(895) 828-6052,Critical Access Hospital,Voluntary non-profit - Other,Yes,3,No,Same as the national average,Above the national average,Below the national average,Same as the national average,Above the national average,Above the national average
Kentucky Healthcare,KY00084,3253 Medical Ave,Hopkinsville,KY,10949,Hopkinsville County,(358) 790-6077,Children's Hospital,Government - State,Yes,3,Yes,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
Kentucky Health System,KY00085,4464 Park Blvd,Hopkinsville,KY,94389,Hopkinsville County,(681) 666-9707,Psychiatric Hospital,Government - Federal,Yes,2,No,Same as the national average,Above the national average,Below the national average,Above the national average,Same as the national average,Same as the national average
General Ashley Regional Hospital,KY00086,2665 Medical Ave,Hopkinsville,KY,91818,Hopkinsville County,(640) 551-9184,Rehabilitation Hospital,Government - State,No,3,Yes,Below the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Below the national average
Florence Children's Hospital,KY00087,6933 Hospital Dr,Florence,KY,32660,Florence County,(808) 393-9599,Long-Term Care Hospital,Government - Local,Yes,4,No,Same as the national average,Below the national average,Below the national average,Above the national average,Above the national average,Same as the national average
Memorial Christopher County Hospital,KY00088,4615 Broadway St,Florence,KY,30262,Florence County,(252) 461-6324,Critical Access Hospital,Government - State,No,1,Yes,Same as the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average
Kentucky Regional Medical Center,KY00089,9319 Park Blvd,Bowling Green,KY,45223,Bowling Green County,(693) 871-5668,Children's Hospital,Government - State,Yes,1,Yes,Above the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Above the national average
Kentucky Health Center,KY00090,4796 Main St,Elizabethtown,KY,84858,Elizabethtown County,(470) 335-7139,Acute Care Hospital,Government - Federal,Yes,4,No,Same as the national average,Below the national average,Same as the national average,Below the national average,Above the national average,Same as the national average
Memorial Daniel Children's Hospital,KY00091,3841 Lincoln Dr,Covington,KY,92173,Covington County,(793) 211-2996,Rehabilitation Hospital,Proprietary,Yes,Not Available,No,Same as the national average,Same as the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
General Mark Healthcare,KY00092,383 Healthcare Dr,Georgetown,KY,98358,Georgetown County,(874) 606-2662,Critical Access Hospital,Government - Federal,Yes,2,Yes,Below the national average,Same as the national average,Above the national average,Below the national average,Same as the national average,Below the national average
Elizabethtown University Hospital,KY00093,9964 Lincoln Ave,Elizabethtown,KY,80604,Elizabethtown County,(276) 574-4815,Long-Term Care Hospital,Voluntary non-profit - Other,Yes,Not Available,No,Above the national average,Same as the national average,Below the national average,Below the national average,Below the national average,Below the national average
Kentucky Hospital,KY00094,4860 Oak Dr,Lexington,KY,79118,Lexington County,(666) 223-3062,Long-Term Care Hospital,Proprietary,Yes,1,Yes,Same as the national average,Same as the national average,Same as the national average,Below the national average,Below the national average,Below the national average
Kentucky Community Hospital,KY00095,6755 University Blvd,Florence,KY,57158,Florence County,(996) 890-4510,Critical Access Hospital,Voluntary non-profit - Other,No,3,Yes,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average
Regional Robert City Hospital,KY00096,2028 Maple Dr,Hopkinsville,KY,25273,Hopkinsville County,(763) 875-4038,Long-Term Care Hospital,Voluntary non-profit - Private,Yes,2,No,Same as the national average,Same as the national average,Above the national average,Below the national average,Above the national average,Same as the national average
Memorial Sarah Medical Center,KY00097,5292 Park Way,Covington,KY,49813,Covington County,(477) 975-1593,Critical Access Hospital,Government - Federal,No,3,Yes,Above the national average,Same as the national average,Same as the national average,Below the national average,Above the national average,Above the national average
Kentucky University Hospital,KY00098,7588 University St,Lexington,KY,72434,Lexington County,(884) 589-1910,Children's Hospital,Proprietary,Yes,4,No,Below the national average,Above the national average,Above the national average,Below the national average,Above the national average,Same as the national average
St. Emily County Hospital,KY00099,2247 First St,Georgetown,KY,98900,Georgetown County,(795) 679-6726,Children's Hospital,Government - Federal,No,Not Available,Yes,Below the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average
Covington Community Hospital,KY00100,287 University St,Covington,KY,54998,Covington County,(465) 238-6493,Long-Term Care Hospital,Voluntary non-profit - Other,Yes,4,No,Same as the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Below the national average
General Jeffrey Children's Hospital,KY00101,6101 Broadway Dr,Richmond,KY,35859,Richmond County,(294) 753-5571,Critical Access Hospital,Voluntary non-profit - Private,No,Not Available,No,Below the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
Kentucky Regional Hospital,KY00102,2547 Second St,Owensboro,KY,13399,Owensboro County,(940) 273-4627,Critical Access Hospital,Proprietary,Yes,3,Yes,Same as the national average,Above the national average,Above the national average,Below the national average,Below the national average,Below the national average
Florence County Hospital,KY00103,2420 Park Way,Florence,KY,13992,Florence County,(996) 758-6358,Long-Term Care Hospital,Voluntary non-profit - Church,Yes,1,No,Below the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,Above the national average
Lexington Veterans Hospital,KY00104,4051 Market Way,Lexington,KY,49957,Lexington County,(918) 460-2416,Critical Access Hospital,Voluntary non-profit - Private,No,Not Available,No,Below the national average,Below the national average,Above the national average,Above the national average,Below the national average,Below the national average
Kentucky Healthcare,KY00105,6211 Maple St,Florence,KY,54123,Florence County,(417) 985-2183,Children's Hospital,Government - Federal,Yes,Not Available,Yes,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average
Memorial Mark County Hospital,SC00001,1197 University Dr,Goose Creek,SC,48228,Goose Creek County,(855) 483-3763,Rehabilitation Hospital,Government - Federal,Yes,2,Yes,Below the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Below the national average
South Carolina Regional Hospital,SC00002,3038 Medical Ave,Greenville,SC,35905,Greenville County,(732) 852-2192,Acute Care Hospital,Government - State,Yes,2,No,Below the national average,Same as the national average,Same as the national average,Below the national average,Above the national average,Same as the national average
Sumter County Hospital,SC00003,1508 Market St,Sumter,SC,56301,Sumter County,(503) 264-3142,Critical Access Hospital,Voluntary non-profit - Church,Yes,3,No,Above the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Below the national average
Memorial Nancy Veterans Hospital,SC00004,4776 Washington St,Hilton Head,SC,66617,Hilton Head County,(961) 732-2740,Acute Care Hospital,Proprietary,Yes,4,Yes,Above the national average,Below the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
Memorial Brian Health Center,SC00005,7833 Washington St,Charleston,SC,31178,Charleston County,(271) 618-2583,Critical Access Hospital,Proprietary,No,4,Yes,Same as the national average,Below the national average,Same as the national average,Above the national average,Below the national average,Below the national average
South Carolina Health System,SC00006,4833 Broadway Ave,North Charleston,SC,95812,North Charleston County,(277) 476-1189,Long-Term Care Hospital,Voluntary non-profit - Church,Yes,5,Yes,Below the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Above the national average
St. Richard General Hospital,SC00007,3237 College Blvd,Hilton Head,SC,71323,Hilton Head County,(724) 423-2253,Children's Hospital,Voluntary non-profit - Church,Yes,3,Yes,Same as the national average,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average
South Carolina Regional Medical Center,SC00008,507 Second Blvd,Columbia,SC,90026,Columbia County,(280) 718-4087,Rehabilitation Hospital,Voluntary non-profit - Private,Yes,5,No,Below the national average,Same as the national average,Above the national average,Below the national average,Below the national average,Below the national average
South Carolina Healthcare,SC00009,7748 Washington St,Greenville,SC,60473,Greenville County,(501) 873-1157,Acute Care Hospital,Voluntary non-profit - Church,No,3,No,Same as the national average,Same as the national average,Above the national average,Same as the national average,Below the national average,Same as the national average
Hilton Head City Hospital,SC00010,7961 Third Blvd,Hilton Head,SC,99303,Hilton Head County,(893) 743-3179,Acute Care Hospital,Government - Federal,Yes,2,No,Below the national average,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average
South Carolina Health Center,SC00011,7247 Center Way,North Charleston,SC,16738,North Charleston County,(241) 808-1463,Critical Access Hospital,Government - Federal,No,2,Yes,Same as the national average,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average
